|Ministério da Educação|
2019|25048880|4,5
2020|25048880|0
2021|25048880|3,2
2014|25049372|-
2015|25049372|3,2
2016|25049372|3,5
2017|25049372|4,5
2018|25049372|3,9
2019|25049372|2,3
2020|25049372|0
2021|25049372|0
2014|25049496|-
2015|25049496|11,9
2016|25049496|6,5
2017|25049496|10,7
2018|25049496|14,6
2019|25049496|0,5
2020|25049496|0
2021|25049496|0
2014|25049640|-
2015|25049640|4,8
2016|25049640|7,9
2017|25049640|14,1
2018|25049640|23,6
2019|25049640|0
2020|25049640|2,9
2021|25049640|1,5
2014|25050427|-
2015|25050427|13,9
2016|25050427|9,3
2017|25050427|8
2018|25050427|8,4
2019|25050427|19,8
2020|25050427|0
2021|25050427|0
2014|25050435|-
2015|25050435|14,1
2016|25050435|12,5
2017|25050435|21,6
2018|25050435|3,4
2019|25050435|0
2020|25050435|0,7
2021|25050435|0
2018|25050486|11,2
2019|25050486|10,9
2020|25050486|0,8
2021|25050486|8,2
2014|25051296|-
2015|25051296|8,3
2016|25051296|9,6
2017|25051296|10,6
2018|25051296|8,3
2019|25051296|8,9
2020|25051296|0,9
2021|25051296|6,1
2014|25051563|-
2014|25051580|-
2015|25051580|15,2
2016|25051580|11,1
2017|25051580|9,3
2018|25051580|13,2
2019|25051580|2,1
2020|25051580|0
2021|25051580|0
2014|25051598|-
2015|25051598|4,2
2016|25051598|11,3
2017|25051598|18,4
2018|25051598|7,3
2019|25051598|4,8
2020|25051598|0
2021|25051598|5,8
2014|25051660|-
2015|25051660|5,7
2016|25051660|14,3
2017|25051660|5
2018|25051660|5,9
2019|25051660|3,4
2020|25051660|10,1
2021|25051660|0
2014|25052497|-
2015|25052497|7,9
2016|25052497|8,9
2017|25052497|4,6
2018|25052497|6,3
2019|25052497|6,3
2020|25052497|0
2021|25052497|0
2014|25052730|-
2014|25052802|-
2015|25052802|13,7
2016|25052802|9,6
2017|25052802|12,2
2018|25052802|14,8
2019|25052802|3,4
2020|25052802|0
2021|25052802|0
2014|25053124|-
2015|25053124|3,3
2016|25053124|7
2017|25053124|6,8
2018|25053124|4,8
2019|25053124|4,7
2020|25053124|0,9
2021|25053124|1,6
2020|25053159|1,1
2021|25053159|0
2014|25053493|-
2015|25053493|10,3
2016|25053493|10
2017|25053493|4,2
2018|25053493|0
2019|25053493|0
2020|25053493|0
2021|25053493|0
2014|25053647|-
2015|25053647|6,6
2016|25053647|3,2
2017|25053647|4,8
2018|25053647|11,4
2019|25053647|4,8
2020|25053647|1,5
2021|25053647|10,5
2014|25053728|-
2015|25053728|21,5
2016|25053728|40,7
2017|25053728|23
2018|25053728|16,7
2019|25053728|12,9
2020|25053728|0
2021|25053728|0
2014|25054023|-
2015|25054023|9,2
2016|25054023|8,1
2017|25054023|11,7
2018|25054023|4,8
2019|25054023|6,3
2020|25054023|0
2021|25054023|0
2014|25054180|-
2015|25054180|10,8
2016|25054180|12,6
2017|25054180|7,3
2018|25054180|8,2
2019|25054180|0
2020|25054180|0
2021|25054180|0
2014|25054490|-
2015|25054490|6,6
2016|25054490|8,4
2017|25054490|6,4
2018|25054490|9,7
2019|25054490|5,3
2020|25054490|0,8
2021|25054490|0
2020|25054767|1,1
2021|25054767|0
2014|25054783|-
2015|25054783|22
2016|25054783|28,2
2017|25054783|25,5
2018|25054783|5,5
2019|25054783|10
2020|25054783|6,1
2021|25054783|5,4
2014|25055046|-
2015|25055046|11,7
2016|25055046|12,6
2017|25055046|14,1
2018|25055046|10,6
2019|25055046|3,5
2020|25055046|0,5
2021|25055046|4,3
2014|25055836|-
2015|25055836|15,4
2016|25055836|11,9
2017|25055836|6,6
2018|25055836|9,1
2019|25055836|9,8
2020|25055836|0
2021|25055836|0
2014|25056581|-
2015|25056581|15,9
2016|25056581|12,1
2017|25056581|5,8
2018|25056581|6,3
2019|25056581|3,2
2020|25056581|0
2021|25056581|1,5
2014|25056620|-
2015|25056620|13,5
2016|25056620|14,7
2017|25056620|3,7
2018|25056620|5,3
2019|25056620|17,5
2020|25056620|0
2021|25056620|2
2014|25056778|-
2015|25056778|4,9
2016|25056778|5,9
2017|25056778|5,3
2018|25056778|1,3
2014|25057146|-
2015|25057146|13,3
2016|25057146|9,7
2017|25057146|8,4
2018|25057146|7
2019|25057146|0
2020|25057146|0
2021|25057146|0
2014|25057820|-
2015|25057820|13,4
2016|25057820|14,7
2017|25057820|15,5
2018|25057820|2,4
2019|25057820|5,7
2020|25057820|1,5
2021|25057820|1,5
2018|25057839|12,9
2019|25057839|10,2
2020|25057839|0
2021|25057839|1,3
2014|25058304|-
2015|25058304|10,1
2016|25058304|4,5
2017|25058304|15,9
2018|25058304|9,6
2019|25058304|2
2020|25058304|0
2021|25058304|0
2019|25058371|2,2
2020|25058371|0
2021|25058371|1,6
2014|25058975|-
2015|25058975|10,1
2016|25058975|9,4
2017|25058975|10,4
2018|25058975|12,3
2019|25058975|3,1
2020|25058975|0,5
2021|25058975|1,7
2014|25058991|-
2015|25058991|15,5
2016|25058991|13,6
2017|25058991|6,3
2018|25058991|15,8
2019|25058991|17
2020|25058991|1,9
2021|25058991|6,9
2019|25059017|5,4
2020|25059017|0,9
2021|25059017|0
2014|25059629|-
2015|25059629|3,2
2016|25059629|20,5
2017|25059629|0
2018|25059629|0
2019|25059629|0
2020|25059629|1,1
2021|25059629|0
2014|25060058|-
2015|25060058|19,4
2016|25060058|20,1
2017|25060058|11,7
2018|25060058|18,3
2019|25060058|9,3
2020|25060058|0,2
2021|25060058|0,4
2014|25060376|-
2015|25060376|17,4
2016|25060376|17,3
2017|25060376|13,3
2018|25060376|7,5
2019|25060376|2,9
2020|25060376|4,3
2021|25060376|5,3
2014|25060406|-
2015|25060406|29,3
2016|25060406|27
2017|25060406|19,6
2018|25060406|23,1
2019|25060406|14,6
2020|25060406|22,8
2021|25060406|31,4
2014|25060996|-
2015|25060996|16,6
2016|25060996|19,6
2017|25060996|19,1
2018|25060996|24,4
2019|25060996|7,3
2020|25060996|6,8
2021|25060996|7,9
2014|25061402|-
2015|25061402|16,9
2016|25061402|23,4
2017|25061402|14,1
2018|25061402|14,1
2019|25061402|10,6
2020|25061402|0
2021|25061402|5
2014|25061720|-
2015|25061720|14,9
2016|25061720|12,7
2017|25061720|16,5
2018|25061720|15,8
2019|25061720|2,8
2020|25061720|2,4
2021|25061720|2,3
2014|25061739|-
2015|25061739|16,4
2016|25061739|17,4
2017|25061739|19,9
2018|25061739|19,4
2019|25061739|23,9
2020|25061739|0
2021|25061739|0,4
2014|25062069|-
2015|25062069|12,1
2016|25062069|12,6
2017|25062069|9,8
2018|25062069|7,4
2019|25062069|3,7
2020|25062069|0
2021|25062069|5,6
2014|25062220|-
2015|25062220|10,2
2016|25062220|15,1
2017|25062220|8,5
2018|25062220|11,3
2019|25062220|9,4
2020|25062220|0
2021|25062220|2,1
2014|25062638|-
2015|25062638|13,1
2016|25062638|12
2017|25062638|16,9
2018|25062638|0,9
2019|25062638|7,2
2020|25062638|1,2
2021|25062638|0,9
2014|25062816|-
2015|25062816|34,3
2016|25062816|41
2017|25062816|46,3
2018|25062816|30,8
2019|25062816|47,3
2020|25062816|0
2021|25062816|0
2014|25063340|-
2015|25063340|9,7
2016|25063340|12,7
2017|25063340|18,1
2018|25063340|15,8
2019|25063340|11,3
2020|25063340|0,7
2021|25063340|7,6
2014|25063359|-
2015|25063359|17,3
2016|25063359|13
2017|25063359|8
2018|25063359|7
2019|25063359|1,2
2020|25063359|0,5
2021|25063359|1
2018|25063405|5,1
2019|25063405|0
2020|25063405|0
2021|25063405|0
2014|25064126|-
2015|25064126|10,6
2016|25064126|5,9
2017|25064126|7,2
2018|25064126|12,4
2019|25064126|11,9
2020|25064126|0
2021|25064126|0,2
2014|25064134|-
2015|25064134|7,8
2016|25064134|12,7
2017|25064134|10
2018|25064134|7
2019|25064134|0,6
2020|25064134|0,5
2021|25064134|0
2014|25064142|-
2015|25064142|26,5
2016|25064142|14,7
2017|25064142|25
2018|25064142|5,4
2019|25064142|20
2020|25064142|0
2021|25064142|0
2014|25064800|-
2016|25064800|100
2017|25064800|3,2
2018|25064800|6
2019|25064800|3,1
2020|25064800|1,8
2021|25064800|5,4
2014|25064894|-
2015|25064894|14,4
2016|25064894|18,8
2017|25064894|20,3
2018|25064894|4,2
2019|25064894|6,9
2020|25064894|1,8
2021|25064894|4,8
2014|25065025|-
2015|25065025|18,9
2016|25065025|19,8
2017|25065025|20,4
2018|25065025|14,7
2019|25065025|12,5
2020|25065025|14,1
2021|25065025|12,8
2014|25065513|-
2015|25065513|19,8
2016|25065513|27,8
2017|25065513|14
2018|25065513|6,5
2019|25065513|4
2020|25065513|6,2
2021|25065513|3,3
2014|25065726|-
2015|25065726|9,2
2016|25065726|5,2
2017|25065726|9
2018|25065726|11
2019|25065726|7
2020|25065726|0
2021|25065726|0,3
2014|25066013|-
2015|25066013|17,7
2016|25066013|21,1
2017|25066013|5
2018|25066013|5,5
2019|25066013|0,9
2020|25066013|0
2021|25066013|2,8
2014|25066374|-
2015|25066374|11,2
2016|25066374|10,8
2017|25066374|5
2018|25066374|12,1
2019|25066374|2
2020|25066374|0
2021|25066374|1,2
2019|25066668|7,5
2020|25066668|4,5
2021|25066668|0,4
2014|25066676|-
2015|25066676|17,3
2016|25066676|25,6
2017|25066676|18,6
2018|25066676|18,8
2019|25066676|7,6
2020|25066676|3,2
2021|25066676|3
2014|25067133|-
2015|25067133|10,2
2016|25067133|22
2017|25067133|12,3
2018|25067133|7,2
2019|25067133|0
2020|25067133|5,4
2021|25067133|5
2019|25067141|1,6
2020|25067141|2,2
2021|25067141|4
2014|25067460|-
2015|25067460|7,8
2016|25067460|8,8
2017|25067460|7,9
2018|25067460|8,6
2019|25067460|5,6
2020|25067460|0,8
2021|25067460|2
2014|25067737|-
2015|25067737|9
2016|25067737|1,3
2017|25067737|2,4
2018|25067737|9,3
2019|25067737|3,4
2020|25067737|0
2021|25067737|13,1
2014|25067869|-
2015|25067869|24,5
2016|25067869|18,9
2017|25067869|15,4
2018|25067869|15,3
2019|25067869|20,8
2020|25067869|0,8
2021|25067869|9,8
2014|25068075|-
2015|25068075|26,1
2016|25068075|25,2
2017|25068075|50,7
2018|25068075|10,8
2019|25068075|2
2020|25068075|0
2021|25068075|1,8
2014|25068342|-
2015|25068342|2,9
2016|25068342|0
2017|25068342|18,9
2018|25068342|9,3
2019|25068342|9,4
2020|25068342|0
2021|25068342|3
2014|25068423|-
2015|25068423|12,8
2014|25068628|-
2015|25068628|13,2
2016|25068628|20,7
2017|25068628|26,7
2018|25068628|19,3
2019|25068628|20,7
2020|25068628|0
2021|25068628|7,7
2014|25068636|-
2015|25068636|17,7
2016|25068636|19,6
2017|25068636|13
2018|25068636|11,1
2019|25068636|5,2
2020|25068636|7,2
2021|25068636|0
2020|25068652|0
2021|25068652|11,1
2014|25068709|-
2015|25068709|21,6
2016|25068709|12
2017|25068709|9,3
2018|25068709|6,6
2019|25068709|4,4
2020|25068709|13,5
2021|25068709|10,3
2018|25068725|4,3
2019|25068725|2,6
2020|25068725|1,1
2021|25068725|0,7
2014|25069357|-
2015|25069357|11,5
2016|25069357|16,8
2017|25069357|20,1
2018|25069357|9,9
2019|25069357|6,9
2020|25069357|0
2021|25069357|0
2020|25069373|0
2021|25069373|7,1
2014|25069675|-
2015|25069675|11,2
2016|25069675|25,2
2017|25069675|8,2
2018|25069675|19
2019|25069675|1,1
2020|25069675|0,3
2021|25069675|4,1
2020|25069683|0
2021|25069683|0
2014|25070088|-
2015|25070088|16,9
2016|25070088|19,4
2017|25070088|13,6
2018|25070088|15,3
2019|25070088|8
2020|25070088|5,7
2021|25070088|2,7
2018|25070290|0
2019|25070290|3,1
2020|25070290|0
2021|25070290|2,1
2014|25070312|-
2015|25070312|14,8
2016|25070312|16,3
2017|25070312|0
2018|25070312|0
2019|25070312|19,7
2020|25070312|1,7
2021|25070312|1,6
2014|25070576|-
2015|25070576|0
2016|25070576|5,4
2017|25070576|0
2018|25070576|7,1
2019|25070576|2,4
2020|25070576|21,6
2021|25070576|4
2014|25070703|-
2015|25070703|15,4
2016|25070703|10,9
2017|25070703|8,1
2018|25070703|12,5
2019|25070703|8,2
2020|25070703|0
2021|25070703|0,5
2021|25071394|0
2014|25071939|-
2015|25071939|20,5
2016|25071939|18,9
2017|25071939|13,5
2014|25072005|-
2015|25072005|25,8
2016|25072005|16,4
2017|25072005|22
2018|25072005|10,7
2019|25072005|9,7
2020|25072005|0
2021|25072005|0,4
2014|25072013|-
2015|25072013|13,3
2016|25072013|26,1
2017|25072013|19
2018|25072013|5,1
2019|25072013|2,2
2020|25072013|0
2021|25072013|1,2
2014|25072021|-
2015|25072021|16,5
2016|25072021|15,9
2017|25072021|13,7
2018|25072021|8,9
2019|25072021|10,4
2020|25072021|0
2021|25072021|4,7
2014|25072030|-
2015|25072030|17
2016|25072030|24
2017|25072030|27,7
2018|25072030|11,9
2019|25072030|0
2020|25072030|0
2021|25072030|0
2018|25072056|30,4
2019|25072056|6,1
2020|25072056|0
2021|25072056|24,7
2014|25072064|-
2015|25072064|6,2
2016|25072064|10
2017|25072064|6,7
2018|25072064|11,1
2019|25072064|4
2020|25072064|0
2021|25072064|0
2018|25072080|7,1
2019|25072080|7,4
2020|25072080|0
2021|25072080|5,7
2014|25072099|-
2015|25072099|19,3
2016|25072099|22,8
2017|25072099|8,8
2018|25072099|9,5
2019|25072099|26
2020|25072099|0
2021|25072099|0
2014|25072102|-
2015|25072102|9,1
2016|25072102|15,1
2017|25072102|17,9
2018|25072102|19,2
2019|25072102|2,2
2020|25072102|0,3
2021|25072102|0
2014|25072110|-
2015|25072110|9,8
2016|25072110|5,6
2017|25072110|9,6
2018|25072110|6,5
2019|25072110|9,7
2020|25072110|0,4
2021|25072110|0,7
2014|25072129|-
2015|25072129|9,8
2016|25072129|15,1
2017|25072129|13,5
2018|25072129|10,4
2019|25072129|14,2
2020|25072129|0
2021|25072129|0
2014|25072137|-
2015|25072137|17
2016|25072137|16,2
2017|25072137|13,5
2018|25072137|3
2019|25072137|0
2020|25072137|0
2021|25072137|0
2014|25072145|-
2015|25072145|13,9
2016|25072145|17,6
2017|25072145|15,5
2018|25072145|19,2
2019|25072145|17,7
2020|25072145|0
2021|25072145|1,1
2014|25072153|-
2015|25072153|4
2016|25072153|22,6
2017|25072153|18,1
2018|25072153|1,6
2019|25072153|2,3
2020|25072153|0,4
2021|25072153|0,4
2014|25072218|-
2015|25072218|10,4
2016|25072218|13,5
2017|25072218|14,4
2018|25072218|13
2019|25072218|13,8
2020|25072218|0
2021|25072218|1
2018|25072234|20,6
2019|25072234|9,1
2020|25072234|0
2021|25072234|0
2018|25072242|11,9
2019|25072242|29,8
2020|25072242|0
2021|25072242|2,5
2014|25072277|-
2015|25072277|15,6
2016|25072277|22,9
2017|25072277|27,7
2018|25072277|25
2019|25072277|0,9
2020|25072277|0
2021|25072277|0
2018|25072285|14,8
2019|25072285|11,6
2020|25072285|0
2021|25072285|4,8
2018|25072293|5,2
2019|25072293|10
2020|25072293|0
2021|25072293|4,3
2014|25072307|-
2015|25072307|10,4
2016|25072307|7,8
2017|25072307|10,5
2018|25072307|9
2019|25072307|0,7
2020|25072307|0
2021|25072307|0
2020|25072340|0
2021|25072340|0
2014|25072404|-
2015|25072404|12,8
2016|25072404|10,7
2017|25072404|9,1
2018|25072404|11,9
2019|25072404|0
2020|25072404|2,9
2021|25072404|0
2014|25072412|-
2015|25072412|15,6
2016|25072412|14,8
2017|25072412|16,3
2018|25072412|1,6
2019|25072412|5,9
2020|25072412|0
2021|25072412|0,8
2014|25072420|-
2015|25072420|21,3
2016|25072420|17,3
2017|25072420|17,6
2018|25072420|5
2019|25072420|0,8
2020|25072420|0
2021|25072420|0
2014|25072439|-
2015|25072439|2,7
2016|25072439|4,9
2017|25072439|0
2018|25072439|1,7
2019|25072439|0
2020|25072439|0
2021|25072439|0
2014|25072692|-
2015|25072692|28,4
2016|25072692|24,4
2017|25072692|8,9
2018|25072692|7,6
2019|25072692|6,9
2020|25072692|2,8
2021|25072692|0,1
2014|25075918|-
2015|25075918|5
2016|25075918|1,9
2017|25075918|0,5
2018|25075918|2,8
2019|25075918|0,6
2020|25075918|0
2021|25075918|0
2014|25076400|-
2015|25076400|15,2
2016|25076400|15,9
2017|25076400|20,2
2018|25076400|9,3
2019|25076400|8
2020|25076400|0
2021|25076400|4,3
2014|25076582|-
2015|25076582|19,6
2016|25076582|19,2
2017|25076582|44,6
2018|25076582|25
2019|25076582|8,5
2020|25076582|1,3
2021|25076582|0
2014|25076590|-
2015|25076590|19
2016|25076590|9,1
2017|25076590|16
2018|25076590|14,4
2019|25076590|11,9
2020|25076590|0
2021|25076590|10,2
2014|25077090|-
2014|25077147|-
2015|25077147|14,1
2016|25077147|13,8
2017|25077147|9,4
2018|25077147|8,1
2019|25077147|2,5
2020|25077147|6,5
2021|25077147|9,1
2014|25077759|-
2015|25077759|13,7
2016|25077759|10,3
2017|25077759|17,9
2018|25077759|14,3
2019|25077759|7,1
2020|25077759|0
2021|25077759|0
2014|25078135|-
2015|25078135|10,1
2016|25078135|7,6
2017|25078135|4,9
2018|25078135|3,1
2019|25078135|9,6
2020|25078135|0,2
2021|25078135|1,2
2014|25078143|-
2015|25078143|26,5
2016|25078143|37,1
2017|25078143|7,8
2018|25078143|8,1
2019|25078143|3,6
2020|25078143|0
2021|25078143|0
2014|25078550|-
2015|25078550|5
2016|25078550|9,5
2017|25078550|4,3
2018|25078550|6
2019|25078550|0,8
2020|25078550|0
2021|25078550|0
2014|25078569|-
2015|25078569|9,7
2016|25078569|20,2
2017|25078569|4,1
2018|25078569|7,3
2019|25078569|9,6
2020|25078569|0
2021|25078569|1,3
2018|25078577|0,8
2019|25078577|7,5
2020|25078577|0
2021|25078577|1,4
2014|25078992|-
2015|25078992|16,4
2016|25078992|16,8
2017|25078992|18,3
2018|25078992|21,8
2019|25078992|10,4
2020|25078992|19,7
2021|25078992|10,8
2020|25079115|0
2021|25079115|0
2014|25080016|-
2015|25080016|9,3
2016|25080016|15,4
2017|25080016|9,9
2018|25080016|10,4
2019|25080016|6,2
2020|25080016|0
2021|25080016|0,4
2014|25080261|-
2015|25080261|17,7
2016|25080261|8,2
2017|25080261|13,6
2018|25080261|4,1
2019|25080261|0
2020|25080261|2,7
2021|25080261|3,6
2014|25080270|-
2015|25080270|17,4
2016|25080270|38,8
2017|25080270|11,1
2018|25080270|18,9
2019|25080270|1,9
2020|25080270|0
2021|25080270|0
2014|25080407|-
2015|25080407|14,6
2016|25080407|0
2017|25080407|0
2018|25080407|0
2019|25080407|0,2
2020|25080407|0
2021|25080407|0
2014|25080849|-
2015|25080849|7,1
2016|25080849|19,3
2017|25080849|11,9
2018|25080849|15,6
2019|25080849|11,8
2020|25080849|0
2021|25080849|0
2014|25081349|-
2015|25081349|6,2
2016|25081349|7,7
2017|25081349|9,4
2018|25081349|0,8
2019|25081349|8,1
2020|25081349|5,8
2021|25081349|3,4
2014|25081403|-
2015|25081403|11,6
2016|25081403|19,2
2017|25081403|19,6
2018|25081403|12,2
2019|25081403|8,5
2020|25081403|0
2021|25081403|1
2020|25081454|0
2021|25081454|0
2014|25081799|-
2015|25081799|20,5
2016|25081799|7,7
2017|25081799|30,2
2018|25081799|28,9
2019|25081799|21,2
2020|25081799|0
2021|25081799|32,6
2014|25081888|-
2015|25081888|7,8
2016|25081888|13,8
2017|25081888|13,8
2018|25081888|19,3
2019|25081888|11,5
2020|25081888|0
2021|25081888|0
2014|25082272|-
2015|25082272|13,9
2016|25082272|16,9
2017|25082272|6,8
2018|25082272|16,1
2019|25082272|15,8
2020|25082272|5,2
2021|25082272|8,9
2014|25082493|-
2015|25082493|13,7
2016|25082493|8,9
2017|25082493|20,4
2018|25082493|11,6
2019|25082493|11,7
2020|25082493|0,9
2021|25082493|0
2014|25082922|-
2015|25082922|20,7
2016|25082922|39,7
2017|25082922|20,3
2018|25082922|2,8
2019|25082922|3,6
2020|25082922|0
2021|25082922|0,5
2014|25082949|-
2015|25082949|16,2
2016|25082949|14,5
2017|25082949|19,1
2018|25082949|12,4
2019|25082949|9,7
2020|25082949|0
2021|25082949|5,9
2014|25082957|-
2015|25082957|8,3
2016|25082957|3,5
2017|25082957|7,7
2018|25082957|1,7
2014|25083490|-
2015|25083490|13,5
2016|25083490|8,7
2017|25083490|7,8
2018|25083490|4,7
2019|25083490|4,1
2020|25083490|0
2021|25083490|0
2019|25083597|1,7
2020|25083597|0
2021|25083597|0
2014|25084445|-
2015|25084445|11,2
2016|25084445|1,5
2017|25084445|1,6
2018|25084445|0,3
2019|25084445|0
2020|25084445|0
2021|25084445|0
2014|25084526|-
2015|25084526|18,1
2016|25084526|11,7
2017|25084526|9,3
2018|25084526|8
2019|25084526|5,5
2020|25084526|3,2
2021|25084526|2,1
2014|25084950|-
2015|25084950|8,3
2016|25084950|13,3
2017|25084950|1,3
2018|25084950|10
2019|25084950|0,6
2020|25084950|0
2021|25084950|0
2014|25084992|-
2015|25084992|17,5
2016|25084992|16,1
2017|25084992|16,4
2018|25084992|9,7
2019|25084992|22,1
2020|25084992|0
2021|25084992|1,3
2014|25085875|-
2015|25085875|0
2016|25085875|14,8
2017|25085875|4,9
2018|25085875|6,7
2019|25085875|2
2020|25085875|0
2021|25085875|0
2014|25086049|-
2015|25086049|3,3
2016|25086049|26
2017|25086049|13,2
2018|25086049|19,2
2019|25086049|3,6
2020|25086049|0
2021|25086049|0
2014|25086316|-
2015|25086316|14,3
2016|25086316|11,7
2017|25086316|17,7
2018|25086316|13,6
2019|25086316|5,4
2020|25086316|0,5
2021|25086316|3,4
2014|25086324|-
2015|25086324|15,3
2016|25086324|18,3
2017|25086324|14,1
2018|25086324|16,6
2019|25086324|14,1
2020|25086324|0,7
2021|25086324|0
2019|25086332|12,6
2020|25086332|0
2021|25086332|6,1
2014|25086901|-
2015|25086901|20,9
2016|25086901|19,3
2017|25086901|7,2
2018|25086901|2,7
2019|25086901|2,4
2020|25086901|0
2021|25086901|0
2014|25086928|-
2015|25086928|17,4
2016|25086928|20,6
2017|25086928|23,3
2018|25086928|23,8
2019|25086928|8,1
2020|25086928|0
2021|25086928|3,5
2017|25086936|17,3
2018|25086936|21
2019|25086936|25,5
2020|25086936|26,6
2021|25086936|23,1
2015|25087304|27,8
2016|25087304|22,1
2017|25087304|11,9
2018|25087304|20,5
2019|25087304|12,8
2020|25087304|1,3
2021|25087304|0,8
2014|25087312|-
2014|25087355|-
2015|25087355|19,6
2016|25087355|13,1
2017|25087355|7,8
2018|25087355|15,2
2019|25087355|16,5
2020|25087355|0
2021|25087355|1,3
2014|25087673|-
2015|25087673|6,9
2016|25087673|12,5
2017|25087673|4,9
2018|25087673|3,7
2019|25087673|2
2020|25087673|1,4
2021|25087673|0
2014|25087738|-
2015|25087738|26,1
2016|25087738|32,6
2017|25087738|29,3
2018|25087738|28,9
2019|25087738|23,8
2020|25087738|6
2021|25087738|7,8
2014|25087860|-
2015|25087860|20,6
2016|25087860|23,8
2017|25087860|10
2018|25087860|13
2019|25087860|6,4
2020|25087860|5,4
2021|25087860|5,6
2014|25087878|-
2015|25087878|10
2016|25087878|17,4
2017|25087878|7,7
2018|25087878|3,1
2019|25087878|15,7
2020|25087878|3,8
2021|25087878|0
2014|25087894|-
2015|25087894|13,2
2016|25087894|14,5
2017|25087894|0
2018|25087894|5,3
2019|25087894|0
2020|25087894|0
2021|25087894|8,4
2019|25087908|7,2
2020|25087908|0
2021|25087908|0
2014|25088068|-
2015|25088068|20
2016|25088068|31
2017|25088068|36,4
2018|25088068|29
2019|25088068|13,8
2020|25088068|32,1
2021|25088068|5,8
2014|25088220|-
2015|25088220|26,5
2016|25088220|6,5
2017|25088220|9,6
2018|25088220|0
2019|25088220|0
2020|25088220|0
2021|25088220|1,7
2014|25088530|-
2015|25088530|12,4
2016|25088530|17,1
2017|25088530|20,9
2018|25088530|22
2019|25088530|15,8
2020|25088530|1,1
